代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
014501,市立板橋國中,公立,[01]新北市,[220]新北市板橋區中正路437號,(02)29666498#234,http://www.pcjh.ntpc.edu.tw
014503,市立重慶國中,公立,[01]新北市,[220]新北市板橋區國慶路221號,(02)29543001,http://www.ccjh.ntpc.edu.tw
014504,市立江翠國中,公立,[01]新北市,[220]新北市板橋區松江街63號,(02)22513256,http://www.ctjh.ntpc.edu.tw
014505,市立中山國中,公立,[01]新北市,[220]新北市板橋區文化路一段188巷56號,(02)22508250#201,http://www.csjh.ntpc.edu.tw
014506,市立新埔國中,公立,[01]新北市,[220]新北市板橋區新海路181號,(02)22572275,http://www.hpjh.ntpc.edu.tw
014507,市立新莊國中,公立,[01]新北市,[242]新北市新莊區中正路211號,(02)22766326,http://www.hcjh.ntpc.edu.tw
014508,市立新泰國中,公立,[01]新北市,[242]新北市新莊區新泰路359號,(02)29960745,http://www.htjh.ntpc.edu.tw
014509,市立福營國中,公立,[01]新北市,[242]新北市新莊區富國路105號,(02)22045556,http://www.fyjh.ntpc.edu.tw
014510,市立頭前國中,公立,[01]新北市,[242]新北市新莊區中原路2號,(02)85222862,http://www.tqjh.ntpc.edu.tw/default.asp
014512,市立光榮國中,公立,[01]新北市,[241]新北市三重區介壽路26號,(02)29721430,http://www.grjh.ntpc.edu.tw
014513,市立明志國中,公立,[01]新北市,[241]新北市三重區中正北路107號,(02)29844132,http://www.mcjh.ntpc.edu.tw
014514,市立碧華國中,公立,[01]新北市,[241]新北市三重區自強路五段66號,(02)29851121,http://www.bhjh.ntpc.edu.tw
014516,市立永和國中,公立,[01]新北市,[234]新北市永和區國中路111號,(02)29214209,http://www.jhjhs.ntpc.edu.tw
014517,市立福和國中,公立,[01]新北市,[234]新北市永和區永利路71號,(02)29261836,http://www.fhjh.ntpc.edu.tw
014518,市立中和國中,公立,[01]新北市,[235]新北市中和區興南路二段3巷17號,(02)29422270,http://www.chjhs.ntpc.edu.tw
014519,市立積穗國中,公立,[01]新北市,[235]新北市中和區民安街66號,(02)22234747,http://www.gsjh.ntpc.edu.tw
014520,市立漳和國中,公立,[01]新北市,[235]新北市中和區廣福路39號,(02)22488616,http://www.chjh.ntpc.edu.tw
014521,市立鶯歌國中,公立,[01]新北市,[239]新北市鶯歌區尖山埔路108號,(02)26701461,http://www.ykjhs.ntpc.edu.tw
014523,市立柑園國中,公立,[01]新北市,[238]新北市樹林區柑園街二段125號,(02)26801958,http://www.gyjh.ntpc.edu.tw
014524,市立土城國中,公立,[01]新北市,[236]新北市土城區永寧路18號,(02)22675135#102,http://www.tcjh.ntpc.edu.tw
014525,市立三峽國中,公立,[01]新北市,[237]新北市三峽區復興路238號,(02)26711043,http://www.shjhs.ntpc.edu.tw
014527,市立八里國中,公立,[01]新北市,[249]新北市八里區荖阡坑路15號,(02)26102016,http://www.pljhs.ntpc.edu.tw
014528,市立泰山國中,公立,[01]新北市,[243]新北市泰山區泰林路二段498號,(02)2296-2519,http://www.ttcjh.ntpc.edu.tw
014529,市立五股國中,公立,[01]新北市,[248]新北市五股區成泰路二段49巷15號,(02)22915224,http://www.wkjh.ntpc.edu.tw
014530,市立蘆洲國中,公立,[01]新北市,[247]新北市蘆洲區中正路265號,(02)22811571,http://www.lcjh.ntpc.edu.tw
014531,市立林口國中,公立,[01]新北市,[244]新北市林口區民治路25號,(02)26011014,http://www.lkjh.ntpc.edu.tw
014533,市立汐止國中,公立,[01]新北市,[221]新北市汐止區禮門里大同路二段394號,(02)26412065,http://www.hcjhs.ntpc.edu.tw
014534,市立淡水國中,公立,[01]新北市,[251]新北市淡水區文化里真理街10號,(02)26218821,http://www.tsjh.ntpc.edu.tw
014536,市立三芝國中,公立,[01]新北市,[252]新北市三芝區淡金路一段38號,(02)26362004,http://www.szjh.ntpc.edu.tw
014537,市立石門國中,公立,[01]新北市,[253]新北市石門區中央路1之9號,(02)26381273,http://www.smjh.ntpc.edu.tw
014539,市立萬里國中,公立,[01]新北市,[207]新北市萬里區獅頭路24號,(02)24922053,http://www.wljhs.ntpc.edu.tw
014540,市立坪林國中,公立,[01]新北市,[232]新北市坪林區國中路4號,(02)26656210,http://www.pljh.ntpc.edu.tw
014541,市立文山國中,公立,[01]新北市,[231]新北市新店區文中路38號,(02)29111672,http://www.wsjh.ntpc.edu.tw
014542,市立五峰國中,公立,[01]新北市,[231]新北市新店區中興路一段253號,(02)29112005,http://www.wfjh.ntpc.edu.tw
014544,市立瑞芳國中,公立,[01]新北市,[224]新北市瑞芳區三爪子坑路1號,(02)24972145,http://www.rfjh.ntpc.edu.tw
014545,市立欽賢國中,公立,[01]新北市,[224]新北市瑞芳區崙頂路3之1號,(02)24972261,http://www.cejh.ntpc.edu.tw
014546,市立貢寮國中,公立,[01]新北市,[228]新北市貢寮區嵩陽街42號,(02)24941941,http://www.kljh.ntpc.edu.tw
014549,市立深坑國中,公立,[01]新北市,[222]新北市深坑區文化街41號,(02)26621455,http://www.skjh.ntpc.edu.tw
014550,市立平溪國中,公立,[01]新北市,[226]新北市平溪區石底街92號,(02)24951010,http://www.phjh.ntpc.edu.tw
014551,市立烏來國中(小),公立,[01]新北市,[233]新北市烏來區啦卡路5號,(02)26616482,http://www.wups.ntpc.edu.tw/default_page.asp
014552,市立溪崑國中,公立,[01]新北市,[220]新北市板橋區大觀路三段50巷30號,(02)26869727,http://www.ckjhs.ntpc.edu.tw
014554,市立自強國中,公立,[01]新北市,[235]新北市中和區莒光路191號,(02)22259469,http://www.zcjh.ntpc.edu.tw
014555,市立中正國中,公立,[01]新北市,[236]新北市土城區金城路二段247號,(02)22628456,http://www.ccjhs.ntpc.edu.tw
014558,市立義學國中,公立,[01]新北市,[243]新北市泰山區民生路33號,(02)22961168,http://www.yhjh.ntpc.edu.tw
014559,市立中平國中,公立,[01]新北市,[242]新北市新莊區中平路385號,(02)29908092,http://www.cpjh.ntpc.edu.tw
014560,市立鳳鳴國中,公立,[01]新北市,[239]新北市鶯歌區永和街33號,(02)26780609,http://www.fmjh.ntpc.edu.tw
014561,市立三和國中,公立,[01]新北市,[241]新北市三重區三和路四段216號,(02)22879890,http://www.shjh.ntpc.edu.tw
014565,市立尖山國中,公立,[01]新北市,[239]新北市鶯歌區國中街1號,(02)26781670,http://www.jsjhs.ntpc.edu.tw
014566,市立正德國中,公立,[01]新北市,[251]新北市淡水區北新路109號,(02)26205136,http://www.jdjh.ntpc.edu.tw
014567,市立安溪國中,公立,[01]新北市,[237]新北市三峽區大同路135號,(02)26717851,http://www.asjh.ntpc.edu.tw
014569,市立育林國中,公立,[01]新北市,[238]新北市樹林區復興路395號,(02)26841160,http://www.yljh.ntpc.edu.tw
014570,市立青山國中(小),公立,[01]新北市,[221]新北市汐止區莊敬街33號,(02)26917877,http://www.csjhs.ntpc.edu.tw
014571,市立崇林國中,公立,[01]新北市,[244]新北市林口區文化一路一段20號,(02)26095829,http://www.ttcjhs.ntpc.edu.tw
014572,市立二重國中,公立,[01]新北市,[241]新北市三重區忠孝路三段89號,(02)29800164,http://www.ecjh.ntpc.edu.tw
014573,市立大觀國中,公立,[01]新北市,[220]新北市板橋區僑中一街1號,(02)22725015,http://www.tkjhs.ntpc.edu.tw
014574,市立三多國中,公立,[01]新北市,[238]新北市樹林區三多路101號,(02)86881501,http://www.sdjh.ntpc.edu.tw
014575,市立忠孝國中,公立,[01]新北市,[220]新北市板橋區成都街30號,(02)29631350,http://www.chjs.ntpc.edu.tw
014576,市立鷺江國中,公立,[01]新北市,[247]新北市蘆洲區長樂路235號,(02)82862517,http://www.ljjh.ntpc.edu.tw
014577,市立桃子腳國中(小),公立,[01]新北市,[238]新北市樹林區學勤路555號,(02)89703225,http://www.tykjh.ntpc.edu.tw
014579,市立佳林國中,公立,[01]新北市,[244]新北市林口區中山路268號,(02)26028555,http://www.jljh.ntpc.edu.tw/default.asp
014580,市立達觀國中(小),公立,[01]新北市,[231]新北市新店區僑信路1號,(02)22159013,http://www.dgejh.ntpc.edu.tw
313501,市立介壽國中,公立,[31]臺北市,[105]臺北市松山區介壽里延壽街401號,(02)27674496,http://www.csjh.tp.edu.tw
313502,市立民生國中,公立,[31]臺北市,[105]臺北市松山區新東里新東街30巷1號,(02)27653433,http://www.msjh.tp.edu.tw
313504,市立中山國中,公立,[31]臺北市,[105]臺北市松山區復興北路361巷7號,(02)27126701,http://www.csjhs.tp.edu.tw
313505,市立敦化國中,公立,[31]臺北市,[105]臺北市松山區南京東路三段300號,(02)87717890,http://www.thjh.tp.edu.tw
323502,市立興雅國中,公立,[32]臺北市,[110]臺北市信義區松德路168巷15號,(02)27232771,http://www.syajh.tp.edu.tw
323503,市立永吉國中,公立,[32]臺北市,[110]臺北市信義區四育里8鄰松隆路161號,(02)27649066,http://www.yjjh.tp.edu.tw
323504,市立瑠公國中,公立,[32]臺北市,[110]臺北市信義區福德街221巷15號,(02)27261481,http://www.lkjh.tp.edu.tw
323505,市立信義國中,公立,[32]臺北市,[110]臺北市信義區松仁路158巷1號,(02)27236771,http://www.syijh.tp.edu.tw
331502,私立立人國中(小),私立,[33]臺北市,[106]臺北市大安區義榮里安和路二段99號,(02)27381188,http://www.ljjhps.tp.edu.tw
333501,市立仁愛國中,公立,[33]臺北市,[106]臺北市大安區敦安里仁愛路4段130號,(02)23255823,http://www.jajh.tp.edu.tw
333502,市立大安國中,公立,[33]臺北市,[106]臺北市大安區大安路2段63號,(02)27557131,http://www.tajh.tp.edu.tw
333504,市立芳和實驗國中,公立,[33]臺北市,[106]臺北市大安區芳和里臥龍街170號,(02)27321961,http://www.fhjhs.tp.edu.tw
333505,市立金華國中,公立,[33]臺北市,[106]臺北市大安區福住里新生南路二段32號,(02)33931799,http://www.chwjh.tp.edu.tw
333506,市立懷生國中,公立,[33]臺北市,[106]臺北市大安區忠孝東路三段248巷30號,(02)27215078,http://www.hsjh.tp.edu.tw
333507,市立民族實驗國中,公立,[33]臺北市,[106]臺北市大安區羅斯福路四段113巷13號,(02)27322935,http://www.mtjh.tp.edu.tw
333508,市立龍門國中,公立,[33]臺北市,[106]臺北市大安區建國南路二段269號,(02)27330299,http://www.lmjh.tp.edu.tw
343502,市立長安國中,公立,[34]臺北市,[104]臺北市中山區興亞里松江路70巷11號,(02)25112382,http://www.cajh.tp.edu.tw
343504,市立北安國中,公立,[34]臺北市,[104]臺北市中山區劍潭里明水路325號,(02)25333888,http://www.pajh.tp.edu.tw
343505,市立新興國中,公立,[34]臺北市,[104]臺北市中山區聚葉里林森北路511號,(02)25714211,http://www.hhjh.tp.edu.tw/
343506,市立五常國中,公立,[34]臺北市,[104]臺北市中山區下埤里復興北路430巷1號,(02)25014320,http://www.wcjhs.tp.edu.tw
343507,市立濱江國中,公立,[34]臺北市,[104]臺北市中山區樂群二路262號,(02)85020126,http://www.bjjh.tp.edu.tw
353501,市立螢橋國中,公立,[35]臺北市,[100]臺北市中正區林興里汀州路三段4號,(02)23688667,http://www.ycjh.tp.edu.tw
353502,市立古亭國中,公立,[35]臺北市,[100]臺北市中正區中華路二段465號,(02)23090986,http://www.ktjh.tp.edu.tw
353503,市立南門國中,公立,[35]臺北市,[100]臺北市中正區南門里廣州街6號,(02)23142775,http://www.nmjh.tp.edu.tw
353504,市立弘道國中,公立,[35]臺北市,[100]臺北市中正區公園路21號,(02)23715520,http://www.htjh.tp.edu.tw
353505,市立中正國中,公立,[35]臺北市,[100]臺北市中正區新營里愛國東路158號,(02)23916697,http://www.ccjhs.tp.edu.tw
363501,市立建成國中,公立,[36]臺北市,[103]臺北市大同區長安西路37之1號,(02)25587042,http://www.jcjh.tp.edu.tw
363502,市立忠孝國中,公立,[36]臺北市,[103]臺北市大同區玉泉里西寧北路32號,(02)25524890,http://www.chjh.tp.edu.tw
363504,市立民權國中,公立,[36]臺北市,[103]臺北市大同區重慶北路三段1號,(02)25931951,http://www.mqjh.tp.edu.tw
363506,市立蘭州國中,公立,[36]臺北市,[103]臺北市大同區至聖里大龍街187巷1號,(02)25918269,http://www.lcjh.tp.edu.tw
363507,市立重慶國中,公立,[36]臺北市,[103]臺北市大同區重慶里敦煌路19號,(02)25948631,http://www.cchs.tp.edu.tw
373501,市立萬華國中,公立,[37]臺北市,[108]臺北市萬華區日善里西藏路201號,(02)23394567,http://www.whjhs.tp.edu.tw
373503,市立雙園國中,公立,[37]臺北市,[108]臺北市萬華區和德里興義街2號,(02)23030827,http://www.syjhs.tp.edu.tw
373505,市立龍山國中,公立,[37]臺北市,[108]臺北市萬華區富裕里南寧路46號,(02)23362789,http://www.lsjh.tp.edu.tw
383501,市立木柵國中,公立,[38]臺北市,[116]臺北市文山區木柵路三段102巷12號,(02)29393031,http://www.mcjhs.tp.edu.tw
383502,市立實踐國中,公立,[38]臺北市,[116]臺北市文山區樟林里辛亥路七段67號,(02)22362852,http://www.sjjh.tp.edu.tw
383503,市立北政國中,公立,[38]臺北市,[116]臺北市文山區指南里指南路三段2巷14號,(02)29393651,http://www.pcjh.tp.edu.tw
383504,市立景美國中,公立,[38]臺北市,[116]臺北市文山區景華里景中街27號,(02)89353130,http://www.cmjh.tp.edu.tw
383505,市立興福國中,公立,[38]臺北市,[116]臺北市文山區興旺里福興路80號,(02)29322024,http://www.hfjh.tp.edu.tw
383507,市立景興國中,公立,[38]臺北市,[116]臺北市文山區景華里景興路46巷2號,(02)29323794,http://www.chhs.tp.edu.tw
393501,市立誠正國中,公立,[39]臺北市,[115]臺北市南港區新富里富康街1巷24號,(02)27828094,http://163.21.132.5
393503,市立成德國中,公立,[39]臺北市,[115]臺北市南港區成福里東新街108巷23號,(02)26515635,http://www.cdjh.tp.edu.tw
403501,市立內湖國中,公立,[40]臺北市,[114]臺北市內湖區紫陽里陽光街1號,(02)27900843,http://www.nhjh.tp.edu.tw
403502,市立麗山國中,公立,[40]臺北市,[114]臺北市內湖區內湖路一段629巷42號,(02)27991867,http://www.lsjhs.tp.edu.tw
403503,市立三民國中,公立,[40]臺北市,[114]臺北市內湖區湖興里民權東路6段45號,(02)27924772,http://www.smjh.tp.edu.tw
403504,市立西湖國中,公立,[40]臺北市,[114]臺北市內湖區西湖里環山路一段27號,(02)27991817,http://www.xhjhs.tp.edu.tw
403505,市立東湖國中,公立,[40]臺北市,[114]臺北市內湖區樂康里康樂街131號,(02)26330373,http://www.dhjh.tp.edu.tw
403506,市立明湖國中,公立,[40]臺北市,[114]臺北市內湖區葫洲里康寧路三段60號,(02)26320616,http://www.mhjh.tp.edu.tw
413501,市立士林國中,公立,[41]臺北市,[111]臺北市士林區福德里中正路345號,(02)88613411,http://www.sljh.tp.edu.tw
413502,市立蘭雅國中,公立,[41]臺北市,[111]臺北市士林區三玉里忠誠路二段51號,(02)28329377,http://163.21.26.20/enable01/
413504,市立至善國中,公立,[41]臺北市,[111]臺北市士林區臨溪里至善路二段360號,(02)28411350,http://www.jsjh.tp.edu.tw
413505,市立格致國中,公立,[41]臺北市,[111]臺北市士林區陽明里仰德大道四段75號,(02)28610079,http://www.gjjh.tp.edu.tw
413506,市立福安國中,公立,[41]臺北市,[111]臺北市士林區福安里延平北路七段250號,(02)28108766,http://www.fajh.tp.edu.tw
413508,市立天母國中,公立,[41]臺北市,[111]臺北市士林區天和里天母東路120號,(02)28754864,http://www.tmjh.tp.edu.tw
423501,市立北投國中,公立,[42]臺北市,[112]臺北市北投區溫泉里溫泉路62號,(02)28912091,http://www.ptjh.tp.edu.tw
423502,市立新民國中,公立,[42]臺北市,[112]臺北市北投區林泉里新民路10號,(02)28979001,http://www.hmjh.tp.edu.tw
423503,市立明德國中,公立,[42]臺北市,[112]臺北市北投區建民里明德路50號,(02)28232539,http://www.mdjh.tp.edu.tw
423504,市立桃源國中,公立,[42]臺北市,[112]臺北市北投區一德里中央北路四段48號,(02)28929633,http://www.tyjh.tp.edu.tw
423505,市立石牌國中,公立,[42]臺北市,[112]臺北市北投區吉利里石牌路一段139號,(02)28224682,http://www.spjh.tp.edu.tw
423506,市立關渡國中,公立,[42]臺北市,[112]臺北市北投區關渡里知行路212號,(02)28581770,http://www.ktjhs.tp.edu.tw
031502,私立有得國中(小),私立,[03]桃園市,[320]桃園市中壢區長春一路288號,(03)4522789,https://www.yoderedu.org/
031503,私立康萊爾國中(小),私立,[03]桃園市,[330]桃園市桃園區力行路288巷8號,(03)3026889,http://www.cornell.tyc.edu.tw/
034501,市立桃園國中,公立,[03]桃園市,[330]桃園市桃園區莒光街2號,(03)3358282,http://www.tyjh.tyc.edu.tw
034502,市立青溪國中,公立,[03]桃園市,[330]桃園市桃園區中山東路124號,(03)3392400,http://www.chjh.tyc.edu.tw
034503,市立文昌國中,公立,[03]桃園市,[330]桃園市桃園區民生路729號,(03)3552776,http://www.wcjhs.tyc.edu.tw/
034504,市立建國國中,公立,[03]桃園市,[330]桃園市桃園區介新街20號,(03)3630081,http://www.ckjhs.tyc.edu.tw
034505,市立中興國中,公立,[03]桃園市,[330]桃園市桃園區文中路122號,(03)3601392,http://www.chjhs.tyc.edu.tw
034506,市立南崁國中,公立,[03]桃園市,[338]桃園市蘆竹區五福六路1號,(03)3525590,http://www.nkjh.tyc.edu.tw
034507,市立山腳國中,公立,[03]桃園市,[338]桃園市蘆竹區海山路319號,(03)3241995,http://www.sjjh.tyc.edu.tw
034508,市立大竹國中,公立,[03]桃園市,[338]桃園市蘆竹區大竹里四鄰國中巷35號,(03)3232764,http://www.dcjh.tyc.edu.tw
034509,市立大園國中,公立,[03]桃園市,[337]桃園市大園區園科路400號,(03)3862029,http://163.30.71.1
034510,市立竹圍國中,公立,[03]桃園市,[337]桃園市大園區海港路2巷87號,(03)3835026,http://www.cwjh.tyc.edu.tw
034511,市立大溪國中,公立,[03]桃園市,[335]桃園市大溪區民權東路210號,(03)3882024,http://www.dsjh.tyc.edu.tw
034513,市立仁和國中,公立,[03]桃園市,[335]桃園市大溪區仁和里仁和七街55號,(03)3906626,http://www.jhjhs.tyc.edu.tw
034515,市立大崗國中,公立,[03]桃園市,[333]桃園市龜山區文化里文化二路168號,(03)3280888,http://www.dgjh.tyc.edu.tw
034516,市立八德國中,公立,[03]桃園市,[334]桃園市八德區興豐路321號,(03)3685322,http://www.ptjh.tyc.edu.tw
034517,市立大成國中,公立,[03]桃園市,[334]桃園市八德區大勇里忠勇街12號,(03)3625633,http://www.tcjhs.tyc.edu.tw
034518,市立中壢國中,公立,[03]桃園市,[324]桃園市平鎮區延平路一段115號,(03)4223214,http://www.cljhs.tyc.edu.tw
034520,市立平南國中,公立,[03]桃園市,[324]桃園市平鎮區中豐路南勢二段340號,(03)4392164,http://www.pnjh.tyc.edu.tw/
034521,市立新明國中,公立,[03]桃園市,[320]桃園市中壢區中正路487巷18號,(03)4936194,http://www.hmjh.tyc.edu.tw
034522,市立內壢國中,公立,[03]桃園市,[320]桃園市中壢區復華里復華一街108號,(03)4522494,http://www.nljh.tyc.edu.tw
034523,市立大崙國中,公立,[03]桃園市,[320]桃園市中壢區月眉路一段50號,(03)4982840,http://www.dljh.tyc.edu.tw
034524,市立龍岡國中,公立,[03]桃園市,[320]桃園市中壢區龍東路147號,(03)4562137,http://www.lkjh.tyc.edu.tw
034525,市立興南國中,公立,[03]桃園市,[320]桃園市中壢區育英路55號,(03)4629991,http://www.hnjh.tyc.edu.tw/
034526,市立自強國中,公立,[03]桃園市,[320]桃園市中壢區榮民路80號,(03)4553494,http://www.tcjh.tyc.edu.tw
034527,市立東興國中,公立,[03]桃園市,[320]桃園市中壢區廣州路25號,(03)34583500,http://www.dsjhs.tyc.edu.tw
034528,市立楊梅國中,公立,[03]桃園市,[326]桃園市楊梅區校前路149號,(03)4782024,http://www.ymjhs.tyc.edu.tw
034529,市立仁美國中,公立,[03]桃園市,[326]桃園市楊梅區高榮里梅獅路539巷1號,(03)4641123,http://www.zmjhs.tyc.edu.tw
034530,市立富岡國中,公立,[03]桃園市,[326]桃園市楊梅區豐野里中正路456號,(03)4721113,http://www.fkjh.tyc.edu.tw
034531,市立瑞原國中,公立,[03]桃園市,[326]桃園市楊梅區民豐路69號,(03)4782242#11,http://www.ryjh.tyc.edu.tw
034533,市立觀音國中,公立,[03]桃園市,[328]桃園市觀音區白玉里下庄子53之1號,(03)4732034,http://www.gijh.tyc.edu.tw
034534,市立草漯國中,公立,[03]桃園市,[328]桃園市觀音區草漯里28鄰四維路73號,(03)4830146#71,http://www.ttjh.tyc.edu.tw
034536,市立大坡國中,公立,[03]桃園市,[327]桃園市新屋區民有二路二段100號,(03)4768350,http://www.dpjhs.tyc.edu.tw
034537,市立永安國中,公立,[03]桃園市,[327]桃園市新屋區中山西路三段96號,(03)4862507,http://www.yajh.tyc.edu.tw
034538,市立龍潭國中,公立,[03]桃園市,[325]桃園市龍潭區中正里龍華路460號,(03)4792075,http://www.ltjhs.tyc.edu.tw
034539,市立凌雲國中,公立,[03]桃園市,[325]桃園市龍潭區中豐路上林段418號,(03)4792604,http://www.lyjh.tyc.edu.tw
034540,市立石門國中,公立,[03]桃園市,[325]桃園市龍潭區佳安里文化路137號,(03)4713610,http://www.smjh.tyc.edu.tw
034541,市立介壽國中,公立,[03]桃園市,[336]桃園市復興區澤仁里中正路248號,(03)3822315,http://www.jsjh.tyc.edu.tw
034542,市立慈文國中,公立,[03]桃園市,[330]桃園市桃園區中正路835號,(03)3269340,http://www.twjh.tyc.edu.tw
034543,市立平興國中,公立,[03]桃園市,[324]桃園市平鎮區環南路300號,(03)4918239,http://www.psjh.tyc.edu.tw
034544,市立楊明國中,公立,[03]桃園市,[326]桃園市楊梅區新農街337號,(03)4781525,http://www.ymjh.tyc.edu.tw
034545,市立龍興國中,公立,[03]桃園市,[320]桃園市中壢區龍勇路100號,(03)4575200,http://www.lsjh.tyc.edu.tw
034546,市立福豐國中,公立,[03]桃園市,[330]桃園市桃園區延平路326號,(03)3669547,http://www.ffjh.tyc.edu.tw
034549,市立東安國中,公立,[03]桃園市,[324]桃園市平鎮區平東路168號,(03)4601407,http://www.tajh.tyc.edu.tw
034550,市立光明國中,公立,[03]桃園市,[338]桃園市蘆竹區光明路一段123號,(03)3114355,http://www.gmjh.tyc.edu.tw
034551,市立同德國中,公立,[03]桃園市,[330]桃園市桃園區南平路487號,(03)2628955,http://www.tdjhs.tyc.edu.tw
034552,市立幸福國中,公立,[03]桃園市,[333]桃園市龜山區中興路100巷20號,(03)3298992,http://www.hfjh.tyc.edu.tw
034554,市立大有國中,公立,[03]桃園市,[330]桃園市桃園區大有路215號,(03)2613298,http://www.dyjhs.tyc.edu.tw
034555,市立龜山國中,公立,[03]桃園市,[333]桃園市龜山區自強西路66號,(03)3205681,http://www.gsjh.tyc.edu.tw
034556,市立會稽國中,公立,[03]桃園市,[330]桃園市桃園區大興路222號,(03)3551496,http://www.kjjhs.tyc.edu.tw
034557,市立楊光國中(小),公立,[03]桃園市,[326]桃園市楊梅區瑞溪路1一段88號,(03)4827987,http://www.ygjps.tyc.edu.tw
034559,市立迴龍國中(小),公立,[03]桃園市,[333]桃園市龜山區萬壽路一段168號,(02)82096088,http://www.hles.tyc.edu.tw
034560,市立平鎮國中,公立,[03]桃園市,[324]桃園市平鎮區新富里振興路2號,(03)4572150,http://163.30.122.141/homepjjh/modules/tadnews/#A
034561,市立武漢國中,公立,[03]桃園市,[325]桃園市龍潭區武中路227號,(03)4092810,http://www.whjhs.tyc.edu.tw
034562,市立經國國中,公立,[03]桃園市,[330]桃園市桃園區經國路276號,(03)3572699,http://www.jgjhs.tyc.edu.tw/web/
034563,市立過嶺國中,公立,[03]桃園市,[320]桃園市中壢區松智路2號,(03)4200026,http://www.gljh.tyc.edu.tw
034564,市立瑞坪國中,公立,[03]桃園市,[326]桃園市楊梅區瑞坪里14鄰文化街535號,(03)4821468,http://www.rpjhs.tyc.edu.tw
034565,市立青埔國中,公立,[03]桃園市,[320]桃園市中壢區領航北路二段281號,(03)2871886,http://www.qpjh.tyc.edu.tw
063501,市立善水國中(小),公立,[06]臺中市,[435]臺中市梧棲區梧南路50號,(04)26396160,https://sites.google.com/tc.edu.tw/ssjhs/%E9%A6%96%E9%A0%81
064501,市立豐原國中,公立,[06]臺中市,[420]臺中市豐原區三豐路一段321號,(04)25251200,http://www.fyjh.tc.edu.tw
064502,市立豐東國中,公立,[06]臺中市,[420]臺中市豐原區豐東路75號,(04)25221743,http://www.ftjh.tc.edu.tw
